0 to 5000,1559150084296672,513887985315191,1524350777828353,413012142144417,452394821545545,456563601111617,242951295896013,169726583204615,283784898377641,157442907684780,301060266668794,1566813316894633,1582583742006482,1388767271390326,763308327122468,567181843392440,1475330956068684,390985771111478
5000 to 10000,414884131903461,862412433787218,895125960577261,957905814237157,1492430587677774,1561510624097150,1560135904275794,537391879697702,408843915934004
10000 to 15000,1425960770983445,462118053922088,733551433374477,302861473253988,1420091188204879,337390376356398,748577138531280,294871874023810,255572097926172,157419454274347
15000 to 20000,243028032551546,236394156537681,311141429057287,252884338168510,331794813632114,189610031052013
20000 to 25000,832571190100190,413316038797138,1403790983232440
25000 to 30000,361025544026729,1570407033178862,797570806968320
30000 to 35000,313479428761640,1499564753618666,394981413945652,361020057325673
35000 to 40000,270305906360649
40000 to 45000,
45000 to 50000,278952422284112
50000 to 55000,242702349193186
55000 to 60000,
60000 to 65000,236432866402302
65000 to 70000,739248892765092
70000 to 75000,
75000 to 80000,
80000 to 85000,
85000 to 90000,151877044837371
90000 to 95000,316858468432535
95000 to 100000,212395562144581,146722902056759
100000 to 105000,
105000 to 110000,
110000 to 115000,
115000 to 120000,
120000 to 125000,
125000 to 130000,280148972024692
130000 to 135000,
135000 to 140000,
140000 to 145000,
145000 to 150000,
150000 to 155000,
155000 to 160000,
160000 to 165000,
165000 to 170000,
170000 to 175000,
175000 to 180000,
180000 to 185000,
185000 to 190000,
190000 to 195000,
195000 to 200000,518824771491353
